indexNumber,indexName,genusNumber,genusName,X,Y,pointOrder
1,Buccinum_1_11_137_455,11,Buccinum,-0.124925372,-1.490234914,148
1,Buccinum_1_11_137_455,11,Buccinum,-0.085113507,-1.5,149
1,Buccinum_1_11_137_455,11,Buccinum,-0.030953709,-1.493307312,150
2,Buccinum_1_11_137_456,11,Buccinum,-0.053325685,-1.5,1
2,Buccinum_1_11_137_456,11,Buccinum,-0.007276064,-1.471152217,2
2,Buccinum_1_11_137_456,11,Buccinum,0.044146231,-1.455275226,3
2,Buccinum_1_11_137_456,11,Buccinum,0.098582373,-1.446674315,4
2,Buccinum_1_11_137_456,11,Buccinum,0.149455898,-1.463876146,5
2,Buccinum_1_11_137_456,11,Buccinum,0.203892048,-1.472477065,6
2,Buccinum_1_11_137_456,11,Buccinum,0.258328191,-1.481077984,7
2,Buccinum_1_11_137_456,11,Buccinum,0.312764333,-1.472477065,8
2,Buccinum_1_11_137_456,11,Buccinum,0.367200476,-1.463876146,9
2,Buccinum_1_11_137_456,11,Buccinum,0.418074001,-1.446674315,10
2,Buccinum_1_11_137_456,11,Buccinum,0.465384917,-1.420871557,11
2,Buccinum_1_11_137_456,11,Buccinum,0.518718024,-1.409607673,12
2,Buccinum_1_11_137_456,11,Buccinum,0.56356935,-1.377866969,13
2,Buccinum_1_11_137_456,11,Buccinum,0.605778956,-1.339748571,14
2,Buccinum_1_11_137_456,11,Buccinum,0.64334863,-1.302349975,15
2,Buccinum_1_11_137_456,11,Buccinum,0.68635321,-1.267202603,16
2,Buccinum_1_11_137_456,11,Buccinum,0.717306945,-1.247123456,17
2,Buccinum_1_11_137_456,11,Buccinum,0.741934541,-1.203592986,18
2,Buccinum_1_11_137_456,11,Buccinum,0.773301475,-1.179264769,19
2,Buccinum_1_11_137_456,11,Buccinum,0.784947419,-1.134777351,20
2,Buccinum_1_11_137_456,11,Buccinum,0.810206427,-1.100832181,21
2,Buccinum_1_11_137_456,11,Buccinum,0.819359385,-1.074562635,22
2,Buccinum_1_11_137_456,11,Buccinum,0.841169725,-1.025598018,23
2,Buccinum_1_11_137_456,11,Buccinum,0.864891414,-0.977425099,24
2,Buccinum_1_11_137_456,11,Buccinum,0.887657428,-0.928856334,25
2,Buccinum_1_11_137_456,11,Buccinum,0.904341682,-0.877768412,26
2,Buccinum_1_11_137_456,11,Buccinum,0.918577982,-0.825666527,27
2,Buccinum_1_11_137_456,11,Buccinum,0.927767691,-0.778111725,28
2,Buccinum_1_11_137_456,11,Buccinum,0.93719259,-0.724504659,29
2,Buccinum_1_11_137_456,11,Buccinum,0.947795075,-0.670897592,30
2,Buccinum_1_11_137_456,11,Buccinum,0.952981651,-0.615047184,31
2,Buccinum_1_11_137_456,11,Buccinum,0.952981651,-0.557048417,32
2,Buccinum_1_11_137_456,11,Buccinum,0.952981651,-0.499049657,33
2,Buccinum_1_11_137_456,11,Buccinum,0.952248909,-0.441354414,34
2,Buccinum_1_11_137_456,11,Buccinum,0.93577982,-0.390177372,35
2,Buccinum_1_11_137_456,11,Buccinum,0.927178901,-0.33574123,36
2,Buccinum_1_11_137_456,11,Buccinum,0.91775797,-0.288090654,37
